Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
1,Anjuna_Ps,2019,Theft (Auto Theft),03-03-2019,Munag Vaddo Assagao,Assagao,1,"(15.6000, 73.7500)",Low,House
2,Anjuna_Ps,2019,Theft (Auto Theft),14-10-2019,Chapora Bardez Goa,Chapora,2,"(15.6032, 73.7421)",Medium,Road
3,Anjuna_Ps,2019,Theft (Auto Theft),22-10-2019,Near Gram Panchayat Building Assagao,Assagao,4,"(15.6000, 73.7500)",Low,Other
4,Anjuna_Ps,2019,Theft (Auto Theft),26-10-2019,Arpora Bardez Goa,Arpora,4,"(15.5728, 73.7677)",Medium,Road
5,Anjuna_Ps,2019,Theft (Auto Theft),22-11-2019,Vale Vaddo Assagao,Assagao,4,"(15.6000, 73.7500)",Low,House
6,Anjuna_Ps,2019,Theft (Auto Theft),19-12-2019,Near 23 Rest Arpora,Arpora,3,"(15.5728, 73.7677)",Medium,Other
7,Anjuna_Ps,2019,Theft (House Theft),24-02-2019,Villa No.2 Candy Flas Nagoa,Nagoa,4,"(15.5700, 73.7700)",Low,House
8,Anjuna_Ps,2019,Theft (House Theft),10-08-2019,Jungle Guest House Vagator,Vagator,2,"(15.5916, 73.7441)",Medium,House
9,Anjuna_Ps,2019,Theft (House Theft),11-10-2019,Shri Siddeshwar Devasthan Chapora,Chapora,2,"(15.6032, 73.7421)",Medium,Other
10,Anjuna_Ps,2019,Theft (House Theft),09-12-2019,Bloo Resort Vagator,Vagator,2,"(15.5916, 73.7441)",Medium,House
11,Anjuna_Ps,2019,Theft (House Theft),17-12-2019,Villa No.3 & 4 Igrezwaddo Marna Siolim,Siolim,3,"(15.6201, 73.7772)",Low,House
12,Anjuna_Ps,2019,Theft (House Theft),21-12-2019,Villa Goa Soutawadda Assagao,Assagao,3,"(15.6000, 73.7500)",Low,House
13,Anjuna_Ps,2019,Theft (HBT Night),13-03-2019,Hno.1317 Bammon Vaddo Siolim,Siolim,2,"(15.6201, 73.7772)",Low,House
14,Anjuna_Ps,2019,Theft (HBT Night),15-03-2019,Hno.466 Temar Boutavaddo Assagao,Assagao,3,"(15.6000, 73.7500)",Low,House
15,Anjuna_Ps,2019,Theft (HBT Night),31-03-2019,563/1 Village Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,House
16,Anjuna_Ps,2019,Theft (HBT Night),05-12-2019,Hno.1046 Deulwadddo Vagator,Vagator,1,"(15.5916, 73.7441)",Medium,House
17,Anjuna_Ps,2019,Assault (Hurt),26-03-2019,Nagoa,Nagoa,4,"(15.5700, 73.7700)",Low,Other
18,Anjuna_Ps,2019,Assault (Hurt),21-04-2019,Dabholwaddo Chapora,Chapora,3,"(15.6032, 73.7421)",Medium,House
19,Anjuna_Ps,2019,Assault (Hurt),10-08-2019,Fuldem Vaddo Nagoa,Nagoa,2,"(15.5700, 73.7700)",Low,House
20,Anjuna_Ps,2019,Assault (Hurt),19-09-2019,Near Rocket Berger Rest Anjuna,Anjuna,3,"(15.5849, 73.7439)",Medium,Other
21,Anjuna_Ps,2019,Assault (Hurt),04-11-2019,Hno.387 Sim Waddo Arpora,Arpora,1,"(15.5728, 73.7677)",Medium,House
22,Anjuna_Ps,2019,Drug Related (NDPS),07-01-2019,Near Tembi Ground Anjuna,Anjuna,1,"(15.5849, 73.7439)",Medium,Other
23,Anjuna_Ps,2019,Drug Related (NDPS),31-01-2019,Near Mamos Corner Bar & Rest Vaddy Siolim,Siolim,5,"(15.6201, 73.7772)",Medium,Other
24,Anjuna_Ps,2019,Drug Related (NDPS),07-02-2019,Near Ajoba Furniture Siolim,Siolim,1,"(15.6201, 73.7772)",Medium,Other
25,Anjuna_Ps,2019,Drug Related (NDPS),12-02-2019,Behind Vagator Football Ground Vagator,Vagator,2,"(15.5916, 73.7441)",Medium,Other
26,Anjuna_Ps,2019,Drug Related (NDPS),12-04-2019,Chaudiwaddo Marna Siolim,Siolim,2,"(15.6201, 73.7772)",Low,House
27,Anjuna_Ps,2019,Drug Related (NDPS),22-05-2019,Sorrranto Vaddo Anjuna,Anjuna,4,"(15.5849, 73.7439)",Medium,House
28,Anjuna_Ps,2019,Drug Related (NDPS),24-09-2019,Diwan Bhati Arpora,Arpora,4,"(15.5728, 73.7677)",Medium,Other
29,Anjuna_Ps,2019,Drug Related (NDPS),27-09-2019,Near Tembi Ground Anjuna,Vagator,4,"(15.5916, 73.7441)",Medium,Other
30,Anjuna_Ps,2019,Drug Related (NDPS),17-10-2019,Behind Vagator Football Ground Vagator,Anjuna,3,"(15.5849, 73.7439)",Medium,Other
31,Anjuna_Ps,2019,Drug Related (NDPS),31-10-2019,Y Junction Gumal Vaddo Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,Road
32,Anjuna_Ps,2019,Drug Related (NDPS),12-11-2019,Dias Vaddo Nagoa,Nagoa,2,"(15.5700, 73.7700)",Low,House
